poly(ethylene furanoate)	"poly(ethylene furanoate)" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
polyamide	"polyamide" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
polybutylene adipate terephthalate	"polybutylene adipate terephthalate" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
polybutylene succinate	"polybutylene succinate" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
polycarbonate	"polycarbonate" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
polyhydroxyalkanoate	"polyhydroxyalkanoate" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
polylactic acid	("polylactic acid" OR "polylactide") AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
polytetrahydrofuran	"polytetrahydrofuran" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
polyurethane	"polyurethane" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
propylene	"propylene" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
sebacic acid	"sebacic acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
sorbitol	"sorbitol" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
succinic acid	"succinic acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
tetrahydrofuran	"tetrahydrofuran" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
xylitol	"xylitol" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
γ-aminobutyric acid	"γ-aminobutyric acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
γ-butyrolactone	"γ-butyrolactone" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
